category,skill,resumes,share_in_category,lift
ACCOUNTANT,written,11,0.0990990990990991,2.1782370605900017
ACCOUNTANT,profit,5,0.04504504504504504,1.122122122122122
ACCOUNTANT,kronos,3,0.02702702702702703,2.0894687791239517
ACCOUNTANT,backup,3,0.02702702702702703,1.211891891891892
ACCOUNTANT,cash management,12,0.10810810810810811,6.7327327327327335
ACCOUNTANT,year 2000,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,business consulting,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,bank,2,0.018018018018018018,10.0990990990991
ACCOUNTANT,cobol,2,0.018018018018018018,8.079279279279278
ACCOUNTANT,sales reporting,1,0.009009009009009009,3.3663663663663668
ACCOUNTANT,management,3,0.02702702702702703,1.063063063063063
ACCOUNTANT,telephone,6,0.05405405405405406,1.0724707007892849
ACCOUNTANT,tax planning and preparation,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,business development,4,0.036036036036036036,0.6905366905366905
ACCOUNTANT,certified public accountant,6,0.05405405405405406,10.099099099099101
ACCOUNTANT,vision,2,0.018018018018018018,0.9394510789859627
ACCOUNTANT,pivot tables,9,0.08108108108108109,6.991683991683993
ACCOUNTANT,email,7,0.06306306306306306,1.1881293057763644
ACCOUNTANT,government,13,0.11711711711711711,2.225225225225225
ACCOUNTANT,peachtree accounting,3,0.02702702702702703,10.099099099099101
ACCOUNTANT,program management,4,0.036036036036036036,2.8854568854568856
ACCOUNTANT,information technology,3,0.02702702702702703,0.9618189618189619
ACCOUNTANT,cash flow,17,0.15315315315315314,6.732732732732732
ACCOUNTANT,accounts payables,5,0.04504504504504504,8.415915915915916
ACCOUNTANT,academic,1,0.009009009009009009,0.3311180032491508
ACCOUNTANT,quickbooks,40,0.36036036036036034,7.768537768537769
ACCOUNTANT,financial planning,2,0.018018018018018018,2.3762586115527293
ACCOUNTANT,taxes,15,0.13513513513513514,7.76853776853777
ACCOUNTANT,materials,11,0.0990990990990991,0.9105745089351647
ACCOUNTANT,requirement,5,0.04504504504504504,2.805305305305305
ACCOUNTANT,databases,6,0.05405405405405406,0.9043969342476805
ACCOUNTANT,lotus,2,0.018018018018018018,3.6723996723996724
ACCOUNTANT,external audits,2,0.018018018018018018,5.04954954954955
ACCOUNTANT,data analysis,3,0.02702702702702703,1.082046332046332
ACCOUNTANT,microsoft access,6,0.05405405405405406,3.462548262548263
ACCOUNTANT,filling,3,0.02702702702702703,5.049549549549551
ACCOUNTANT,protocols,1,0.009009009009009009,0.6515547805870386
ACCOUNTANT,quality,4,0.036036036036036036,0.2263103439574028
ACCOUNTANT,tables,6,0.05405405405405406,3.462548262548263
ACCOUNTANT,fixed assets,27,0.24324324324324326,12.394348894348894
ACCOUNTANT,coding,13,0.11711711711711711,3.861420243773185
ACCOUNTANT,financial report,2,0.018018018018018018,10.0990990990991
ACCOUNTANT,progress,10,0.09009009009009009,1.3288288288288288
ACCOUNTANT,general ledger accounting,6,0.05405405405405406,9.322245322245323
ACCOUNTANT,sage,13,0.11711711711711711,11.416372894633763
ACCOUNTANT,balance sheet,29,0.26126126126126126,10.0990990990991
ACCOUNTANT,budgets,17,0.15315315315315314,1.7518845375988232
ACCOUNTANT,microsoft powerpoint,3,0.02702702702702703,2.164092664092664
ACCOUNTANT,benefits,11,0.0990990990990991,1.4242319242319244
ACCOUNTANT,proposal,4,0.036036036036036036,2.071610071610072
ACCOUNTANT,recording,7,0.06306306306306306,2.6182849516182847
ACCOUNTANT,sun,3,0.02702702702702703,4.661122661122661
ACCOUNTANT,cashier,4,0.036036036036036036,2.3083655083655086
ACCOUNTANT,power point,6,0.05405405405405406,1.1998929622691998
ACCOUNTANT,local government,1,0.009009009009009009,6.7327327327327335
ACCOUNTANT,external auditor,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,managing,12,0.10810810810810811,0.9077841886830652
ACCOUNTANT,funds,17,0.15315315315315314,4.518018018018018
ACCOUNTANT,programmer,1,0.009009009009009009,3.3663663663663668
ACCOUNTANT,statutory accounts,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,treasury,8,0.07207207207207207,6.463423423423424
ACCOUNTANT,english,5,0.04504504504504504,0.9265228531283577
ACCOUNTANT,financial reporting,21,0.1891891891891892,6.237678855325915
ACCOUNTANT,accounts payable and receivable,2,0.018018018018018018,6.7327327327327335
ACCOUNTANT,9,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,cost accounting,5,0.04504504504504504,6.311936936936936
ACCOUNTANT,hyperion,10,0.09009009009009009,6.732732732732733
ACCOUNTANT,financial and management,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,as 400,2,0.018018018018018018,10.0990990990991
ACCOUNTANT,financial accounting,8,0.07207207207207207,8.976976976976976
ACCOUNTANT,accounting software,12,0.10810810810810811,8.976976976976978
ACCOUNTANT,tax planning,2,0.018018018018018018,13.465465465465467
ACCOUNTANT,tax compliance,2,0.018018018018018018,5.770913770913771
ACCOUNTANT,month end closing,4,0.036036036036036036,13.465465465465467
ACCOUNTANT,sales analysis,1,0.009009009009009009,2.0198198198198196
ACCOUNTANT,ap,13,0.11711711711711711,7.72284048754637
ACCOUNTANT,platinum,1,0.009009009009009009,2.8854568854568856
ACCOUNTANT,sap fi/co module,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,pb views/six sigma,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,mas90/best fas,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,open systems,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,cognos powerplay,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,peachtree,14,0.12612612612612611,14.138738738738738
ACCOUNTANT,oracle-gl/opm/payables/fixed assets,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,cognos upfront,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,great plains,5,0.04504504504504504,8.415915915915916
ACCOUNTANT,ms excel,6,0.05405405405405406,2.4732487589630447
ACCOUNTANT,sap asset management module,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,sbt,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,various others,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,sam,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,sap financial-accounting module,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,bpcs,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,lawson/infopro,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,libra,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,computer applications,2,0.018018018018018018,3.6723996723996724
ACCOUNTANT,ceta,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,basis,1,0.009009009009009009,1.0099099099099098
ACCOUNTANT,closings,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,assembly,1,0.009009009009009009,0.9618189618189618
ACCOUNTANT,usda,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,automated payroll,2,0.018018018018018018,13.465465465465467
ACCOUNTANT,shipping,1,0.009009009009009009,0.25567339491390123
ACCOUNTANT,cpa,12,0.10810810810810811,8.976976976976978
ACCOUNTANT,direct sales,1,0.009009009009009009,1.5537075537075538
ACCOUNTANT,operations,3,0.02702702702702703,0.9933540097474525
ACCOUNTANT,forecasting,12,0.10810810810810811,2.2236548475080586
ACCOUNTANT,administrative manager,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,purchase orders,2,0.018018018018018018,5.04954954954955
ACCOUNTANT,project management,4,0.036036036036036036,0.32317117117117117
ACCOUNTANT,bookkeeper,4,0.036036036036036036,11.541827541827542
ACCOUNTANT,government contracts,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,staffing,3,0.02702702702702703,0.48090948090948094
ACCOUNTANT,audit,3,0.02702702702702703,4.03963963963964
ACCOUNTANT,all sales,2,0.018018018018018018,10.0990990990991
ACCOUNTANT,annuities,1,0.009009009009009009,3.3663663663663668
ACCOUNTANT,retail sales,1,0.009009009009009009,0.403963963963964
ACCOUNTANT,software training,1,0.009009009009009009,5.04954954954955
ACCOUNTANT,maintenance,1,0.009009009009009009,0.46972553949298135
ACCOUNTANT,food safety,1,0.009009009009009009,1.5537075537075538
ACCOUNTANT,accounts,3,0.02702702702702703,12.118918918918919
ACCOUNTANT,csi,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,logistics,5,0.04504504504504504,0.9265228531283577
ACCOUNTANT,sales and,2,0.018018018018018018,2.126126126126126
ACCOUNTANT,monthly sales,2,0.018018018018018018,8.079279279279278
ACCOUNTANT,reconciliations,3,0.02702702702702703,8.656370656370656
ACCOUNTANT,audits,2,0.018018018018018018,2.126126126126126
ACCOUNTANT,receptionist,1,0.009009009009009009,0.38842688842688844
ACCOUNTANT,payroll processing,5,0.04504504504504504,4.59049959049959
ACCOUNTANT,life insurance,1,0.009009009009009009,6.7327327327327335
ACCOUNTANT,procedure writing,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,public relations,1,0.009009009009009009,0.22952497952497952
ACCOUNTANT,team building,2,0.018018018018018018,0.6311936936936937
ACCOUNTANT,solutions,1,0.009009009009009009,0.8415915915915917
ACCOUNTANT,customer service,18,0.16216216216216217,0.8494569335690831
ACCOUNTANT,clerk,1,0.009009009009009009,2.524774774774775
ACCOUNTANT,networking,2,0.018018018018018018,0.3366366366366366
ACCOUNTANT,entrees,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,million,2,0.018018018018018018,2.693093093093093
ACCOUNTANT,merchandising,2,0.018018018018018018,0.5940646528881823
ACCOUNTANT,adjustments,1,0.009009009009009009,2.8854568854568856
ACCOUNTANT,ordering,1,0.009009009009009009,2.524774774774775
ACCOUNTANT,sales tax,2,0.018018018018018018,8.079279279279278
ACCOUNTANT,training,3,0.02702702702702703,0.6732732732732734
ACCOUNTANT,quality assurance,4,0.036036036036036036,0.7412182825026862
ACCOUNTANT,accounts and,2,0.018018018018018018,2.693093093093093
ACCOUNTANT,its,1,0.009009009009009009,1.4427284427284428
ACCOUNTANT,secretary,1,0.009009009009009009,4.039639639639639
ACCOUNTANT,invoice,1,0.009009009009009009,2.8854568854568856
ACCOUNTANT,state tax,1,0.009009009009009009,4.039639639639639
ACCOUNTANT,office management,3,0.02702702702702703,4.03963963963964
ACCOUNTANT,timberline software,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,journal,1,0.009009009009009009,3.3663663663663668
ACCOUNTANT,process payroll,4,0.036036036036036036,10.0990990990991
ACCOUNTANT,bookkeeping,13,0.11711711711711711,5.04954954954955
ACCOUNTANT,a/p,7,0.06306306306306306,9.425825825825825
ACCOUNTANT,a/r,1,0.009009009009009009,5.04954954954955
ACCOUNTANT,g/l,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,scheduling,8,0.07207207207207207,0.6437672732493449
ACCOUNTANT,clerical,7,0.06306306306306306,2.4377135756446098
ACCOUNTANT,bank reconciliations,20,0.18018018018018017,11.22122122122122
ACCOUNTANT,job costing,7,0.06306306306306306,17.673423423423422
ACCOUNTANT,account,1,0.009009009009009009,6.7327327327327335
ACCOUNTANT,balance sheets,7,0.06306306306306306,9.425825825825825
ACCOUNTANT,business management,4,0.036036036036036036,2.693093093093093
ACCOUNTANT,timberline,3,0.02702702702702703,7.574324324324325
ACCOUNTANT,as400,6,0.05405405405405406,5.049549549549551
ACCOUNTANT,office administration,1,0.009009009009009009,2.244244244244244
ACCOUNTANT,restaurant manager,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,account reconciliations,16,0.14414414414414414,13.465465465465467
ACCOUNTANT,accounts for,1,0.009009009009009009,4.039639639639639
ACCOUNTANT,office manager,1,0.009009009009009009,1.5537075537075538
ACCOUNTANT,typing,2,0.018018018018018018,1.3465465465465465
ACCOUNTANT,customer accounts,1,0.009009009009009009,6.7327327327327335
ACCOUNTANT,collections,1,0.009009009009009009,2.0198198198198196
ACCOUNTANT,mas90,3,0.02702702702702703,7.574324324324325
ACCOUNTANT,mas 90,3,0.02702702702702703,8.656370656370656
ACCOUNTANT,netsuite,4,0.036036036036036036,16.158558558558557
ACCOUNTANT,associate,1,0.009009009009009009,0.807927927927928
ACCOUNTANT,including account,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,receivables,1,0.009009009009009009,5.04954954954955
ACCOUNTANT,loans,1,0.009009009009009009,2.244244244244244
ACCOUNTANT,file,1,0.009009009009009009,2.0198198198198196
ACCOUNTANT,cogs,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,litigation,1,0.009009009009009009,1.4427284427284428
ACCOUNTANT,team lead,3,0.02702702702702703,2.0894687791239517
ACCOUNTANT,real estate,8,0.07207207207207207,2.564850564850565
ACCOUNTANT,with accounts,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,cases,1,0.009009009009009009,1.2623873873873874
ACCOUNTANT,credit card,1,0.009009009009009009,2.524774774774775
ACCOUNTANT,review credit,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,mas,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,with sales,1,0.009009009009009009,5.04954954954955
ACCOUNTANT,illustrator,1,0.009009009009009009,0.2844816647633549
ACCOUNTANT,factiva,1,0.009009009009009009,2.0198198198198196
ACCOUNTANT,html,1,0.009009009009009009,0.23486276974649067
ACCOUNTANT,tapscan,1,0.009009009009009009,2.524774774774775
ACCOUNTANT,excellent communication,3,0.02702702702702703,1.4091766184789443
ACCOUNTANT,phone,8,0.07207207207207207,1.0844670173529234
ACCOUNTANT,adobe acrobat,2,0.018018018018018018,1.4961628294961629
ACCOUNTANT,filing,16,0.14414414414414414,2.228766697732215
ACCOUNTANT,detail-oriented,2,0.018018018018018018,1.615855855855856
ACCOUNTANT,windows,4,0.036036036036036036,0.7278629981332684
ACCOUNTANT,windows 8,1,0.009009009009009009,1.4427284427284428
ACCOUNTANT,prepare financial statements,3,0.02702702702702703,10.099099099099101
ACCOUNTANT,prepare tax,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,presentation skills,1,0.009009009009009009,2.524774774774775
ACCOUNTANT,adobe,3,0.02702702702702703,1.1432942376338604
ACCOUNTANT,quick learner,2,0.018018018018018018,1.4427284427284428
ACCOUNTANT,analytical skills,2,0.018018018018018018,2.693093093093093
ACCOUNTANT,mct,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,windows 7,1,0.009009009009009009,0.4926389804438585
ACCOUNTANT,ms access,3,0.02702702702702703,2.3305613305613306
ACCOUNTANT,pdf,1,0.009009009009009009,2.0198198198198196
ACCOUNTANT,management skills,1,0.009009009009009009,1.6831831831831834
ACCOUNTANT,for 72 branches,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,health care organizations,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,public accounting auditor,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,t,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,commercial loans,1,0.009009009009009009,5.04954954954955
ACCOUNTANT,public accounting senior auditor,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,accounting controls,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,teller system,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,office administrator,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,procedures,1,0.009009009009009009,4.039639639639639
ACCOUNTANT,in all project,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,additional professional background,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,programs,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,student loan officer,1,0.009009009009009009,20.1981981981982
ACCOUNTANT,final,1,0.009009009009009009,10.0990990990991
ACCOUNTANT,read,2,0.018018018018018018,0.9394510789859627
